"filename", "language", "PHP", "JSON", "PostCSS", "JavaScript", "Markdown", "XML", "vue", "HTML", "comment", "blank", "total"
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/database/migrations/2025_06_20_133939_create_survey_question_answers_table.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 6, 4, 33
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/database/migrations/2025_06_20_151426_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 6, 4, 34
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/database/migrations/2025_06_27_090943_add_image_column_to_surveys_table.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/database/seeders/DatabaseSeeder.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 5, 5, 24
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/package.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/phpunit.xml", "XML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 34
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/public/index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 4, 7, 21
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/resources/css/app.css", "PostCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/resources/js/app.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/resources/js/bootstrap.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/resources/views/index.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/routes/api.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/routes/console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/routes/web.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/tests/Feature/ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/tests/TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/tests/Unit/ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"/home/xrmisal/Desktop/PHP/laravel-vue-survey/vite.config.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
